ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"Aktuelle Ver.",
Calloatti.LoadGameModValidator.Column.Id,"Mod-ID",
Calloatti.LoadGameModValidator.Column.Name,"Mod-Name",
Calloatti.LoadGameModValidator.Column.SavedVersion,"Gespeicherte Ver.",
Calloatti.LoadGameModValidator.Column.Status,"Status",
Calloatti.LoadGameModValidator.Confirmation,"Möchten Sie den Spielstand wirklich laden?",
Calloatti.LoadGameModValidator.Status.Disabled,"Deaktiviert",
Calloatti.LoadGameModValidator.Status.Match,"Übereinstimmung",
Calloatti.LoadGameModValidator.Status.Mismatch,"Versionskonflikt",
Calloatti.LoadGameModValidator.Status.Missing,"Fehlt",
Calloatti.LoadGameModValidator.Status.New,"Neu",
Calloatti.LoadGameModValidator.Warning,"Die aktuelle Mods-Liste stimmt nicht mit der Liste der gespeicherten Mods überein.",
Calloatti.LoadGameModValidator.ShowAll,"Alle anzeigen",
Calloatti.LoadGameModValidator.Column.MinGameVer,"Min. Spielver.",
Calloatti.LoadGameModValidator.Column.VersionFolder,"Versionsordner",
