ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"Ver. actual",
Calloatti.LoadGameModValidator.Column.Id,"ID del mod",
Calloatti.LoadGameModValidator.Column.Name,"Nombre del mod",
Calloatti.LoadGameModValidator.Column.SavedVersion,"Ver. guardada",
Calloatti.LoadGameModValidator.Column.Status,"Estado",
Calloatti.LoadGameModValidator.Confirmation,"¿Está seguro de que desea cargar la partida guardada?",
Calloatti.LoadGameModValidator.Status.Disabled,"Desactivado",
Calloatti.LoadGameModValidator.Status.Match,"Coincidencia",
Calloatti.LoadGameModValidator.Status.Mismatch,"Discrepancia de versión",
Calloatti.LoadGameModValidator.Status.Missing,"Falta",
Calloatti.LoadGameModValidator.Status.New,"Nuevo",
Calloatti.LoadGameModValidator.Warning,"La lista de mods actual no coincide con la lista de mods de la partida guardada.",
Calloatti.LoadGameModValidator.ShowAll,"Mostrar todo",
Calloatti.LoadGameModValidator.Column.MinGameVer,"Ver. mín. juego",
Calloatti.LoadGameModValidator.Column.VersionFolder,"Carpeta de versión",
