ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"Version actuelle",
Calloatti.LoadGameModValidator.Column.Id,"ID du mod",
Calloatti.LoadGameModValidator.Column.Name,"Nom du mod",
Calloatti.LoadGameModValidator.Column.SavedVersion,"Version sauvegardée",
Calloatti.LoadGameModValidator.Column.Status,"Statut",
Calloatti.LoadGameModValidator.Confirmation,"Êtes-vous sûr de vouloir charger la partie sauvegardée ?",
Calloatti.LoadGameModValidator.Status.Disabled,"Désactivé",
Calloatti.LoadGameModValidator.Status.Match,"Correspondance",
Calloatti.LoadGameModValidator.Status.Mismatch,"Incompatibilité de version",
Calloatti.LoadGameModValidator.Status.Missing,"Manquant",
Calloatti.LoadGameModValidator.Status.New,"Nouveau",
Calloatti.LoadGameModValidator.Warning,"La liste des mods actuelle ne correspond pas à la liste des mods de la partie sauvegardée.",
Calloatti.LoadGameModValidator.ShowAll,"Tout afficher",
Calloatti.LoadGameModValidator.Column.MinGameVer,"Version min. du jeu",
Calloatti.LoadGameModValidator.Column.VersionFolder,"Dossier de version",
