ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"Versione attuale",
Calloatti.LoadGameModValidator.Column.Id,"ID mod",
Calloatti.LoadGameModValidator.Column.Name,"Nome mod",
Calloatti.LoadGameModValidator.Column.SavedVersion,"Versione salvata",
Calloatti.LoadGameModValidator.Column.Status,"Stato",
Calloatti.LoadGameModValidator.Confirmation,"Sei sicuro di voler caricare la partita salvata?",
Calloatti.LoadGameModValidator.Status.Disabled,"Disabilitato",
Calloatti.LoadGameModValidator.Status.Match,"Corrispondenza",
Calloatti.LoadGameModValidator.Status.Mismatch,"Discrepanza versione",
Calloatti.LoadGameModValidator.Status.Missing,"Mancante",
Calloatti.LoadGameModValidator.Status.New,"Nuovo",
Calloatti.LoadGameModValidator.Warning,"L'elenco dei mod attuale non corrisponde all'elenco dei mod della partita salvata.",
Calloatti.LoadGameModValidator.ShowAll,"Mostra tutto",
Calloatti.LoadGameModValidator.Column.MinGameVer,"Versione min. gioco",
Calloatti.LoadGameModValidator.Column.VersionFolder,"Cartella versione",
