ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"現在のバージョン",
Calloatti.LoadGameModValidator.Column.Id,"Mod ID",
Calloatti.LoadGameModValidator.Column.Name,"Mod名",
Calloatti.LoadGameModValidator.Column.SavedVersion,"保存されたバージョン",
Calloatti.LoadGameModValidator.Column.Status,"ステータス",
Calloatti.LoadGameModValidator.Confirmation,"保存したゲームを読み込んでもよろしいですか？",
Calloatti.LoadGameModValidator.Status.Disabled,"無効",
Calloatti.LoadGameModValidator.Status.Match,"一致",
Calloatti.LoadGameModValidator.Status.Mismatch,"バージョンの不一致",
Calloatti.LoadGameModValidator.Status.Missing,"不足",
Calloatti.LoadGameModValidator.Status.New,"新規",
Calloatti.LoadGameModValidator.Warning,"現在のModリストが保存されたゲームのModリストと一致しません。",
Calloatti.LoadGameModValidator.ShowAll,"すべて表示",
Calloatti.LoadGameModValidator.Column.MinGameVer,"最小ゲームバージョン",
Calloatti.LoadGameModValidator.Column.VersionFolder,"バージョンフォルダ",
