ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"현재 버전",
Calloatti.LoadGameModValidator.Column.Id,"모드 ID",
Calloatti.LoadGameModValidator.Column.Name,"모드 이름",
Calloatti.LoadGameModValidator.Column.SavedVersion,"저장된 버전",
Calloatti.LoadGameModValidator.Column.Status,"상태",
Calloatti.LoadGameModValidator.Confirmation,"저장된 게임을 로드하시겠습니까?",
Calloatti.LoadGameModValidator.Status.Disabled,"비활성화됨",
Calloatti.LoadGameModValidator.Status.Match,"일치",
Calloatti.LoadGameModValidator.Status.Mismatch,"버전 불일치",
Calloatti.LoadGameModValidator.Status.Missing,"누락",
Calloatti.LoadGameModValidator.Status.New,"새로움",
Calloatti.LoadGameModValidator.Warning,"현재 모드 목록이 저장된 게임의 모드 목록과 일치하지 않습니다.",
Calloatti.LoadGameModValidator.ShowAll,"모두 표시",
Calloatti.LoadGameModValidator.Column.MinGameVer,"최소 게임 버전",
Calloatti.LoadGameModValidator.Column.VersionFolder,"버전 폴더",
