ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"Aktualna wersja",
Calloatti.LoadGameModValidator.Column.Id,"ID moda",
Calloatti.LoadGameModValidator.Column.Name,"Nazwa moda",
Calloatti.LoadGameModValidator.Column.SavedVersion,"Zapisana wersja",
Calloatti.LoadGameModValidator.Column.Status,"Status",
Calloatti.LoadGameModValidator.Confirmation,"Czy na pewno chcesz załadować zapisany stan gry?",
Calloatti.LoadGameModValidator.Status.Disabled,"Wyłączony",
Calloatti.LoadGameModValidator.Status.Match,"Zgodność",
Calloatti.LoadGameModValidator.Status.Mismatch,"Niezgodność wersji",
Calloatti.LoadGameModValidator.Status.Missing,"Brakujący",
Calloatti.LoadGameModValidator.Status.New,"Nowy",
Calloatti.LoadGameModValidator.Warning,"Aktualna lista modów nie zgadza się z listą modów zapisanego stanu gry.",
Calloatti.LoadGameModValidator.ShowAll,"Pokaż wszystko",
Calloatti.LoadGameModValidator.Column.MinGameVer,"Min. wersja gry",
Calloatti.LoadGameModValidator.Column.VersionFolder,"Folder wersji",
