ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"Versão atual",
Calloatti.LoadGameModValidator.Column.Id,"ID do mod",
Calloatti.LoadGameModValidator.Column.Name,"Nome do mod",
Calloatti.LoadGameModValidator.Column.SavedVersion,"Versão salva",
Calloatti.LoadGameModValidator.Column.Status,"Status",
Calloatti.LoadGameModValidator.Confirmation,"Tem certeza de que deseja carregar o jogo salvo?",
Calloatti.LoadGameModValidator.Status.Disabled,"Desativado",
Calloatti.LoadGameModValidator.Status.Match,"Correspondência",
Calloatti.LoadGameModValidator.Status.Mismatch,"Incompatibilidade de versão",
Calloatti.LoadGameModValidator.Status.Missing,"Ausente",
Calloatti.LoadGameModValidator.Status.New,"Novo",
Calloatti.LoadGameModValidator.Warning,"A lista de mods atual não corresponde à lista de mods do jogo salvo.",
Calloatti.LoadGameModValidator.ShowAll,"Mostrar tudo",
Calloatti.LoadGameModValidator.Column.MinGameVer,"Versão mín. do jogo",
Calloatti.LoadGameModValidator.Column.VersionFolder,"Pasta de versão",
