ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"Текущая версия",
Calloatti.LoadGameModValidator.Column.Id,"ID мода",
Calloatti.LoadGameModValidator.Column.Name,"Название мода",
Calloatti.LoadGameModValidator.Column.SavedVersion,"Сохраненная версия",
Calloatti.LoadGameModValidator.Column.Status,"Статус",
Calloatti.LoadGameModValidator.Confirmation,"Вы уверены, что хотите загрузить сохраненную игру?",
Calloatti.LoadGameModValidator.Status.Disabled,"Отключено",
Calloatti.LoadGameModValidator.Status.Match,"Совпадение",
Calloatti.LoadGameModValidator.Status.Mismatch,"Несовпадение версий",
Calloatti.LoadGameModValidator.Status.Missing,"Отсутствует",
Calloatti.LoadGameModValidator.Status.New,"Новый",
Calloatti.LoadGameModValidator.Warning,"Текущий список модов не соответствует списку модов сохраненной игры.",
Calloatti.LoadGameModValidator.ShowAll,"Показать все",
Calloatti.LoadGameModValidator.Column.MinGameVer,"Мин. версия игры",
Calloatti.LoadGameModValidator.Column.VersionFolder,"Папка версии",
