ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"เวอร์ชันปัจจุบัน",
Calloatti.LoadGameModValidator.Column.Id,"รหัส Mod",
Calloatti.LoadGameModValidator.Column.Name,"ชื่อ Mod",
Calloatti.LoadGameModValidator.Column.SavedVersion,"เวอร์ชันที่บันทึก",
Calloatti.LoadGameModValidator.Column.Status,"สถานะ",
Calloatti.LoadGameModValidator.Confirmation,"คุณแน่ใจหรือไม่ว่าต้องการโหลดเกมที่บันทึกไว้?",
Calloatti.LoadGameModValidator.Status.Disabled,"ปิดใช้งาน",
Calloatti.LoadGameModValidator.Status.Match,"ตรงกัน",
Calloatti.LoadGameModValidator.Status.Mismatch,"เวอร์ชันไม่ตรงกัน",
Calloatti.LoadGameModValidator.Status.Missing,"หายไป",
Calloatti.LoadGameModValidator.Status.New,"ใหม่",
Calloatti.LoadGameModValidator.Warning,"รายการ Mod ปัจจุบันไม่ตรงกับรายการ Mod ของเกมที่บันทึกไว้",
Calloatti.LoadGameModValidator.ShowAll,"แสดงทั้งหมด",
Calloatti.LoadGameModValidator.Column.MinGameVer,"เวอร์ชันเกมขั้นต่ำ",
Calloatti.LoadGameModValidator.Column.VersionFolder,"โฟลเดอร์เวอร์ชัน",
