ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"Mevcut Sürüm",
Calloatti.LoadGameModValidator.Column.Id,"Mod Kimliği",
Calloatti.LoadGameModValidator.Column.Name,"Mod Adı",
Calloatti.LoadGameModValidator.Column.SavedVersion,"Kaydedilen Sürüm",
Calloatti.LoadGameModValidator.Column.Status,"Durum",
Calloatti.LoadGameModValidator.Confirmation,"Kaydedilmiş oyunu yüklemek istediğinize emin misiniz?",
Calloatti.LoadGameModValidator.Status.Disabled,"Devre Dışı",
Calloatti.LoadGameModValidator.Status.Match,"Eşleşme",
Calloatti.LoadGameModValidator.Status.Mismatch,"Sürüm Uyuşmazlığı",
Calloatti.LoadGameModValidator.Status.Missing,"Eksik",
Calloatti.LoadGameModValidator.Status.New,"Yeni",
Calloatti.LoadGameModValidator.Warning,"Mevcut mod listesi, kaydedilmiş oyunun mod listesiyle eşleşmiyor.",
Calloatti.LoadGameModValidator.ShowAll,"Tümünü Göster",
Calloatti.LoadGameModValidator.Column.MinGameVer,"Min. Oyun Sürümü",
Calloatti.LoadGameModValidator.Column.VersionFolder,"Sürüm Klasörü",
