ID,Text,Comment
human-made-translation,"human-made-translation",
Calloatti.LoadGameModValidator.Column.CurrentVersion,Поточна версія,
Calloatti.LoadGameModValidator.Column.Id,ID моду,
Calloatti.LoadGameModValidator.Column.Name,Назва моду,
Calloatti.LoadGameModValidator.Column.SavedVersion,Версія у збереженні,
Calloatti.LoadGameModValidator.Column.Status,Стан,
Calloatti.LoadGameModValidator.Confirmation,"Ви впевнені, що хочете завантажити це збереження?",
Calloatti.LoadGameModValidator.Status.Disabled,Вимкнено,
Calloatti.LoadGameModValidator.Status.Match,Збігається,
Calloatti.LoadGameModValidator.Status.Mismatch,Версії не збігаються,
Calloatti.LoadGameModValidator.Status.Missing,Відсутній,
Calloatti.LoadGameModValidator.Status.New,Новий,
Calloatti.LoadGameModValidator.Warning,"Поточний список модів не збігається зі списком модів у збереженні.",
Calloatti.LoadGameModValidator.ShowAll,Показати всі,
Calloatti.LoadGameModValidator.Column.MinGameVer,Мін. версія гри,
Calloatti.LoadGameModValidator.Column.VersionFolder,Папка версії,
