ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"当前版本",
Calloatti.LoadGameModValidator.Column.Id,"Mod ID",
Calloatti.LoadGameModValidator.Column.Name,"Mod名称",
Calloatti.LoadGameModValidator.Column.SavedVersion,"保存的版本",
Calloatti.LoadGameModValidator.Column.Status,"状态",
Calloatti.LoadGameModValidator.Confirmation,"您确定要加载已保存的游戏吗？",
Calloatti.LoadGameModValidator.Status.Disabled,"已禁用",
Calloatti.LoadGameModValidator.Status.Match,"匹配",
Calloatti.LoadGameModValidator.Status.Mismatch,"版本不匹配",
Calloatti.LoadGameModValidator.Status.Missing,"缺失",
Calloatti.LoadGameModValidator.Status.New,"新",
Calloatti.LoadGameModValidator.Warning,"当前Mod列表与已保存的游戏Mod列表不匹配。",
Calloatti.LoadGameModValidator.ShowAll,"显示全部",
Calloatti.LoadGameModValidator.Column.MinGameVer,"最小游戏版本",
Calloatti.LoadGameModValidator.Column.VersionFolder,"版本文件夹",
