ID,Text,Comment
Calloatti.LoadGameModValidator.Column.CurrentVersion,"目前版本",
Calloatti.LoadGameModValidator.Column.Id,"Mod ID",
Calloatti.LoadGameModValidator.Column.Name,"Mod名稱",
Calloatti.LoadGameModValidator.Column.SavedVersion,"已儲存版本",
Calloatti.LoadGameModValidator.Column.Status,"狀態",
Calloatti.LoadGameModValidator.Confirmation,"您確定要載入已儲存的遊戲嗎？",
Calloatti.LoadGameModValidator.Status.Disabled,"已停用",
Calloatti.LoadGameModValidator.Status.Match,"相符",
Calloatti.LoadGameModValidator.Status.Mismatch,"版本不符",
Calloatti.LoadGameModValidator.Status.Missing,"遺失",
Calloatti.LoadGameModValidator.Status.New,"新",
Calloatti.LoadGameModValidator.Warning,"目前的Mod清單與已儲存遊戲的Mod清單不符。",
Calloatti.LoadGameModValidator.ShowAll,"顯示全部",
Calloatti.LoadGameModValidator.Column.MinGameVer,"最小遊戲版本",
Calloatti.LoadGameModValidator.Column.VersionFolder,"版本資料夾",
